Quiet file: XC395622.ogg, dBFS is -66.6
Noisy file: XC303082.ogg, dBFS is -12.6
Super noisy file: XC394743.ogg, dBFS is -4.3
Super noisy file: XC153624.ogg, dBFS is -9.9
Noisy file: XC31323.ogg, dBFS is -14.7
Noisy file: XC316989.ogg, dBFS is -12.5
Noisy file: XC577017.ogg, dBFS is -13.3
Noisy file: XC370503.ogg, dBFS is -13.8
Noisy file: XC124958.ogg, dBFS is -14.2
Super noisy file: XC116986.ogg, dBFS is -10.9
Noisy file: XC208967.ogg, dBFS is -13.8
Noisy file: XC9690.ogg, dBFS is -14.6
Noisy file: XC9692.ogg, dBFS is -14.0
Noisy file: XC147687.ogg, dBFS is -13.4
Super noisy file: XC154187.ogg, dBFS is -9.4
Noisy file: XC185978.ogg, dBFS is -13.9
Noisy file: XC208973.ogg, dBFS is -13.8
Noisy file: XC324125.ogg, dBFS is -14.5
Noisy file: XC339981.ogg, dBFS is -13.8
Noisy file: XC364030.ogg, dBFS is -13.3
Noisy file: XC9693.ogg, dBFS is -14.8
Super noisy file: XC10574.ogg, dBFS is -11.7
Noisy file: XC112907.ogg, dBFS is -14.6
Noisy file: XC112909.ogg, dBFS is -15.0
Noisy file: XC134511.ogg, dBFS is -14.9
Noisy file: XC278117.ogg, dBFS is -13.4
Noisy file: XC367951.ogg, dBFS is -13.2
Noisy file: XC574143.ogg, dBFS is -13.7
Super noisy file: XC332142.ogg, dBFS is -9.5
Noisy file: XC149214.ogg, dBFS is -14.2
Noisy file: XC461562.ogg, dBFS is -14.9
Noisy file: XC303165.ogg, dBFS is -14.4
Noisy file: XC456268.ogg, dBFS is -14.3
Noisy file: XC468132.ogg, dBFS is -12.9
Super noisy file: XC16973.ogg, dBFS is -11.8
Noisy file: XC353382.ogg, dBFS is -13.7
Noisy file: XC432228.ogg, dBFS is -12.8
Noisy file: XC16936.ogg, dBFS is -14.6
Noisy file: XC415333.ogg, dBFS is -14.2
Noisy file: XC283558.ogg, dBFS is -14.6
Super noisy file: XC380317.ogg, dBFS is -8.3
Super noisy file: XC386309.ogg, dBFS is -10.8
Noisy file: XC458063.ogg, dBFS is -14.9
Noisy file: XC403141.ogg, dBFS is -12.6
Noisy file: XC403238.ogg, dBFS is -14.0
Noisy file: XC403239.ogg, dBFS is -14.3
Noisy file: XC403243.ogg, dBFS is -13.6
Super noisy file: XC491641.ogg, dBFS is -9.5
Noisy file: XC381087.ogg, dBFS is -12.7
Super noisy file: XC308300.ogg, dBFS is -6.8
Noisy file: XC145726.ogg, dBFS is -12.6
Super noisy file: XC152564.ogg, dBFS is -10.4
Super noisy file: XC343332.ogg, dBFS is -8.7
Noisy file: XC354235.ogg, dBFS is -13.3
Noisy file: XC113720.ogg, dBFS is -14.8
Super noisy file: XC380822.ogg, dBFS is -11.0
Super noisy file: XC411427.ogg, dBFS is -10.8
Noisy file: XC378532.ogg, dBFS is -13.5
Noisy file: XC248125.ogg, dBFS is -12.1
Super noisy file: XC199065.ogg, dBFS is -10.1
Noisy file: XC199066.ogg, dBFS is -12.7
Noisy file: XC285313.ogg, dBFS is -14.2
Noisy file: XC296531.ogg, dBFS is -13.8
Noisy file: XC278085.ogg, dBFS is -14.4
Noisy file: XC277818.ogg, dBFS is -14.6
Noisy file: XC283695.ogg, dBFS is -12.4
Noisy file: XC292089.ogg, dBFS is -14.7
Noisy file: XC144475.ogg, dBFS is -14.9
Noisy file: XC152548.ogg, dBFS is -13.4
Noisy file: XC380281.ogg, dBFS is -12.5
Super noisy file: XC380282.ogg, dBFS is -10.2
Noisy file: XC381280.ogg, dBFS is -13.3
Noisy file: XC9848.ogg, dBFS is -13.2
Noisy file: XC380719.ogg, dBFS is -13.0
Noisy file: XC16890.ogg, dBFS is -14.8
Super noisy file: XC15211.ogg, dBFS is -4.8
Noisy file: XC238181.ogg, dBFS is -14.1
Noisy file: XC365440.ogg, dBFS is -13.6
Noisy file: XC277142.ogg, dBFS is -14.8
Noisy file: XC277143.ogg, dBFS is -14.8
Noisy file: XC407148.ogg, dBFS is -12.4
Noisy file: XC267658.ogg, dBFS is -14.8
Noisy file: XC403242.ogg, dBFS is -14.1
Noisy file: XC403244.ogg, dBFS is -13.2
Super noisy file: XC403247.ogg, dBFS is -10.0
Super noisy file: XC142209.ogg, dBFS is -10.5
Noisy file: XC457174.ogg, dBFS is -13.9
Noisy file: XC618219.ogg, dBFS is -14.8
Super noisy file: XC152339.ogg, dBFS is -6.9
Noisy file: XC11462.ogg, dBFS is -13.3
Noisy file: XC169237.ogg, dBFS is -14.2
Super noisy file: XC473710.ogg, dBFS is -3.0
Noisy file: XC516225.ogg, dBFS is -14.9
Super noisy file: XC180127.ogg, dBFS is -12.0
Noisy file: XC144349.ogg, dBFS is -15.0
Noisy file: XC405562.ogg, dBFS is -14.5
Super noisy file: XC466326.ogg, dBFS is -11.4
Super noisy file: XC370379.ogg, dBFS is -10.4
Noisy file: XC176356.ogg, dBFS is -13.0
Noisy file: XC330487.ogg, dBFS is -12.3
Noisy file: XC507041.ogg, dBFS is -13.0
Noisy file: XC198414.ogg, dBFS is -14.3
Noisy file: XC289190.ogg, dBFS is -13.4
Super noisy file: XC366955.ogg, dBFS is -6.3
Noisy file: XC574142.ogg, dBFS is -13.2
Super noisy file: XC278111.ogg, dBFS is -11.9
Noisy file: XC386424.ogg, dBFS is -12.7
Noisy file: XC433032.ogg, dBFS is -12.9
Noisy file: XC461518.ogg, dBFS is -15.0
Noisy file: XC16993.ogg, dBFS is -12.4
Noisy file: XC63295.ogg, dBFS is -14.5
Noisy file: XC424023.ogg, dBFS is -14.5
Super noisy file: XC579290.ogg, dBFS is -10.3
Noisy file: XC74703.ogg, dBFS is -13.9
Noisy file: XC74704.ogg, dBFS is -13.5
Noisy file: XC278093.ogg, dBFS is -14.0
Noisy file: XC283551.ogg, dBFS is -14.2
Noisy file: XC572258.ogg, dBFS is -14.9
Noisy file: XC118867.ogg, dBFS is -13.4
Noisy file: XC460008.ogg, dBFS is -14.9
Noisy file: XC460013.ogg, dBFS is -13.3
Super noisy file: XC252694.ogg, dBFS is -9.9
Super noisy file: XC252702.ogg, dBFS is -10.1
Super noisy file: XC252710.ogg, dBFS is -11.3
Super noisy file: XC252713.ogg, dBFS is -9.8
Noisy file: XC8841.ogg, dBFS is -12.4
Noisy file: XC154791.ogg, dBFS is -14.3
Noisy file: XC63361.ogg, dBFS is -14.7
Super noisy file: XC181058.ogg, dBFS is -11.8
Super noisy file: XC73443.ogg, dBFS is -10.5
Noisy file: XC235014.ogg, dBFS is -13.4
Noisy file: XC145678.ogg, dBFS is -14.9
Super noisy file: XC213428.ogg, dBFS is -7.5
Super noisy file: XC234663.ogg, dBFS is -11.1
Super noisy file: XC20508.ogg, dBFS is -5.7
Noisy file: XC145702.ogg, dBFS is -14.2
Noisy file: XC493065.ogg, dBFS is -13.6
Super noisy file: XC312398.ogg, dBFS is -11.2
Super noisy file: XC331467.ogg, dBFS is -9.4
Super noisy file: XC580988.ogg, dBFS is -8.9
Noisy file: XC380773.ogg, dBFS is -14.8
Super noisy file: XC145613.ogg, dBFS is -9.8
Noisy file: XC457198.ogg, dBFS is -13.4
Noisy file: XC253922.ogg, dBFS is -14.0
Super noisy file: XC253928.ogg, dBFS is -7.1
Noisy file: XC253931.ogg, dBFS is -14.8
Noisy file: XC526477.ogg, dBFS is -14.4
Noisy file: XC119207.ogg, dBFS is -12.8
Super noisy file: XC331472.ogg, dBFS is -9.2
Noisy file: XC145572.ogg, dBFS is -14.3
Noisy file: XC17012.ogg, dBFS is -13.7
Noisy file: XC10573.ogg, dBFS is -12.7
Super noisy file: XC216715.ogg, dBFS is -5.7
Super noisy file: XC216716.ogg, dBFS is -8.9
Super noisy file: XC253885.ogg, dBFS is -12.0
Noisy file: XC16928.ogg, dBFS is -15.0
Noisy file: XC581027.ogg, dBFS is -14.6
Super noisy file: XC154175.ogg, dBFS is -8.4
Super noisy file: XC337827.ogg, dBFS is -9.9
Noisy file: XC337828.ogg, dBFS is -14.2
Super noisy file: XC337829.ogg, dBFS is -7.8
Noisy file: XC337830.ogg, dBFS is -12.6
Super noisy file: XC129297.ogg, dBFS is -7.0
Noisy file: XC137699.ogg, dBFS is -13.0
Super noisy file: XC153990.ogg, dBFS is -8.9
Super noisy file: XC144474.ogg, dBFS is -10.8
Noisy file: XC294556.ogg, dBFS is -13.8
Noisy file: XC359322.ogg, dBFS is -13.7
Noisy file: XC182801.ogg, dBFS is -14.3
Noisy file: XC154101.ogg, dBFS is -15.0
Noisy file: XC435952.ogg, dBFS is -13.9
Noisy file: XC436833.ogg, dBFS is -13.9
Noisy file: XC493619.ogg, dBFS is -14.2
Noisy file: XC194635.ogg, dBFS is -14.4
Noisy file: XC437368.ogg, dBFS is -14.4
Super noisy file: XC404619.ogg, dBFS is -6.4
Noisy file: XC211737.ogg, dBFS is -13.2
Noisy file: XC144398.ogg, dBFS is -14.1
Noisy file: XC332145.ogg, dBFS is -13.5
Noisy file: XC191965.ogg, dBFS is -12.6
Noisy file: XC388413.ogg, dBFS is -14.3
Noisy file: XC118853.ogg, dBFS is -13.9
Noisy file: XC350069.ogg, dBFS is -14.3
Noisy file: XC617252.ogg, dBFS is -13.5
Noisy file: XC145555.ogg, dBFS is -13.3
Noisy file: XC387567.ogg, dBFS is -14.9
Super noisy file: XC394675.ogg, dBFS is -10.9
Super noisy file: XC116958.ogg, dBFS is -11.1
Noisy file: XC403245.ogg, dBFS is -12.7
Noisy file: XC439191.ogg, dBFS is -13.9
Super noisy file: XC254787.ogg, dBFS is -11.7
Noisy file: XC31018.ogg, dBFS is -13.1
Noisy file: XC549927.ogg, dBFS is -14.5
Super noisy file: XC382459.ogg, dBFS is -8.8
Super noisy file: XC382483.ogg, dBFS is -12.0
Super noisy file: XC119210.ogg, dBFS is -11.6
Noisy file: XC8908.ogg, dBFS is -13.5
Noisy file: XC581069.ogg, dBFS is -12.2
Super noisy file: XC483032.ogg, dBFS is -9.4
Noisy file: XC368636.ogg, dBFS is -12.1
Noisy file: XC288053.ogg, dBFS is -13.9
Noisy file: XC295762.ogg, dBFS is -14.5
Noisy file: XC534264.ogg, dBFS is -14.9
Super noisy file: XC113880.ogg, dBFS is -11.7
Noisy file: XC145468.ogg, dBFS is -12.3
Super noisy file: XC129300.ogg, dBFS is -8.0
Noisy file: XC154099.ogg, dBFS is -14.5
Super noisy file: XC142320.ogg, dBFS is -11.7
Noisy file: XC213525.ogg, dBFS is -13.8
Noisy file: XC443820.ogg, dBFS is -13.7
Noisy file: XC292144.ogg, dBFS is -14.5
Noisy file: XC16889.ogg, dBFS is -12.2
Noisy file: XC154035.ogg, dBFS is -13.8
Noisy file: XC476387.ogg, dBFS is -13.0
Noisy file: XC376094.ogg, dBFS is -12.7
Noisy file: XC405568.ogg, dBFS is -14.0
Super noisy file: XC185490.ogg, dBFS is -8.9
Noisy file: XC365439.ogg, dBFS is -14.8
Noisy file: XC254792.ogg, dBFS is -14.9
Noisy file: XC63962.ogg, dBFS is -14.3
Super noisy file: XC254793.ogg, dBFS is -9.0
Noisy file: XC63963.ogg, dBFS is -14.0
Noisy file: XC216259.ogg, dBFS is -13.3
Noisy file: XC216266.ogg, dBFS is -13.3
Noisy file: XC215914.ogg, dBFS is -13.3
Noisy file: XC395008.ogg, dBFS is -13.9
